time_step,eval_return_mean,eval_std_mean,timestamp
0,69.98882966262133,4.125761512015809,2021-03-05 13:58:19
100000,63.12808313074832,9.046977563448536,2021-03-05 14:04:56
200000,277.72011550120305,16.728151203021426,2021-03-05 14:20:25
300000,2573.872570923875,3.6628267400993835,2021-03-05 14:36:17
400000,321.0404671771847,8.898517618403657,2021-03-05 14:51:13
500000,3365.7280055470883,4.688610437194274,2021-03-05 15:06:46
600000,1957.1021391146514,1744.6257963612425,2021-03-05 15:22:23
700000,2776.9328793037726,1188.3062282961457,2021-03-05 15:38:00
800000,3382.0023926316667,1.8237298489519955,2021-03-05 15:53:39
900000,3377.609535110504,5.478200024418617,2021-03-05 16:09:17
1000000,3380.159502756852,7.40471411336148,2021-03-05 16:24:54
1100000,3089.420027834258,7.625215856734484,2021-03-05 16:40:26
1200000,3108.1375675886147,8.075778091028257,2021-03-05 16:56:01
1300000,3392.7767253330376,5.183420317377613,2021-03-05 17:11:38
1400000,3393.8077657348767,2.715949564469597,2021-03-05 17:27:16
1500000,2800.713089415459,1172.1921948465647,2021-03-05 17:42:52
1600000,3395.653159848231,7.3777747884676055,2021-03-05 17:58:25
1700000,2662.3256097818567,1453.2076655268731,2021-03-05 18:13:57
1800000,3392.3379001698495,4.577593631950645,2021-03-05 18:29:27
1900000,3393.3690892260593,3.7269367243544873,2021-03-05 18:45:02
2000000,3076.353130711085,4.550562092423355,2021-03-05 19:00:39
2100000,3083.964258913857,7.034136081778605,2021-03-05 19:16:11
2200000,1738.631754813537,681.2621990925885,2021-03-05 19:31:42
2300000,4324.138925132183,39.95400560595288,2021-03-05 19:47:15
2400000,4774.332101038148,3.5780901921554036,2021-03-05 20:02:47
2500000,4828.49911775498,51.02425722226424,2021-03-05 20:18:20
2600000,4905.260505905735,7.404826321741706,2021-03-05 20:33:52
2700000,4236.165586183482,4.736010268543864,2021-03-05 20:49:26
2800000,3270.1449747379224,1709.730809374525,2021-03-05 21:04:53
2900000,5134.608009258963,30.371065708632614,2021-03-05 21:20:24
3000000,5148.077642345381,5.941894348857875,2021-03-05 21:35:57
3100000,6224.6084475902535,28.326927666495603,2021-03-05 21:51:29
3200000,5439.172891580104,21.236582113410936,2021-03-05 22:06:58
3300000,5453.56028451142,17.43001595537947,2021-03-05 22:22:25
3400000,5953.734144808728,26.513141253696137,2021-03-05 22:37:56
3500000,5340.504012232863,14.079721478501739,2021-03-05 22:53:27
3600000,5218.184896292984,20.425628400841457,2021-03-05 23:08:56
3700000,5274.486369516605,23.1087285275491,2021-03-05 23:24:26
3800000,4603.408699630199,2302.960535919734,2021-03-05 23:39:57
3900000,4983.918307457912,1004.7946151019687,2021-03-05 23:55:24
4000000,5430.3897698530845,17.50860389274742,2021-03-06 00:10:52
4100000,5371.772504657737,16.83575630447992,2021-03-06 00:26:24
4200000,6152.394407180471,204.97845548480046,2021-03-06 00:41:53
4300000,2255.796953046044,298.8877333902005,2021-03-06 00:57:06
4400000,5858.280464286907,1450.9630460554,2021-03-06 01:12:37
4500000,3124.9368721562214,606.8243058660636,2021-03-06 01:27:58
4600000,2008.9198608220468,388.7370737215518,2021-03-06 01:43:09
4700000,2236.431763573455,331.56525896106047,2021-03-06 01:58:25
4800000,2843.8496358536895,584.568605512255,2021-03-06 02:13:40
4900000,3274.6447091780356,1205.851808600959,2021-03-06 02:29:13
5000000,7260.697733614157,32.409860756733636,2021-03-06 02:44:47
5100000,6575.160188357886,55.536478088534125,2021-03-06 03:00:24
5200000,6335.866664708239,43.42715153529088,2021-03-06 03:15:54
5300000,4080.0825961164314,2156.2706264931653,2021-03-06 03:31:27
5400000,5747.141749606487,27.373369509099824,2021-03-06 03:47:04
5500000,5149.631553612058,22.978088247368714,2021-03-06 04:02:36
5600000,3911.7083085702534,2129.348662557746,2021-03-06 04:18:08
5700000,6000.160978483296,55.147866221139296,2021-03-06 04:33:41
5800000,5427.083053981544,2961.6978472409032,2021-03-06 04:49:12
5900000,6290.504890875085,36.10351949545215,2021-03-06 05:04:45
6000000,4928.5131876336845,2657.429130748462,2021-03-06 05:20:20
6100000,7619.3628322627355,20.080355861040722,2021-03-06 05:35:55
6200000,7124.078579897937,41.45716945531959,2021-03-06 05:51:30
6300000,6262.498171093628,58.39284093414367,2021-03-06 06:07:01
6400000,6911.275392944304,56.26773840702546,2021-03-06 06:22:37
6500000,6614.472834414693,17.248391145925666,2021-03-06 06:38:09
6600000,6741.946377159113,15.514231576142512,2021-03-06 06:53:40
6700000,7434.028647079569,65.82274885361274,2021-03-06 07:09:13
6800000,7230.791719248705,33.85954042139181,2021-03-06 07:24:45
6900000,7002.201287551014,46.17678992390077,2021-03-06 07:40:17
7000000,7713.388053573422,26.91670456463207,2021-03-06 07:55:50
7100000,6459.063622212374,21.667138201483585,2021-03-06 08:11:24
7200000,7816.315921378169,74.63858309150393,2021-03-06 08:26:53
7300000,8166.340704317653,8.794729515291083,2021-03-06 08:42:28
7400000,7618.5042226111345,7.042729637967866,2021-03-06 08:58:03
7500000,7584.214183488313,24.897120264158374,2021-03-06 09:13:37
7600000,7523.403302209126,31.905164652757513,2021-03-06 09:29:08
7700000,7517.84598394462,26.409702255009613,2021-03-06 09:44:40
7800000,7712.936878614897,23.891732790870222,2021-03-06 10:00:13
7900000,7706.9204508142575,36.77542919190815,2021-03-06 10:15:46
8000000,7788.192451952392,15.261298671404152,2021-03-06 10:31:21
8100000,6401.904854924133,3306.0926692887897,2021-03-06 10:46:57
8200000,7780.545061059022,17.614968276227266,2021-03-06 11:02:33
