time_step,eval_return_mean,eval_std_mean,timestamp
0,-1382.0990181206416,1.0105549873495339,2021-03-05 13:49:46
30000,-1400.0640125381346,36.103302171515764,2021-03-05 13:52:08
60000,-1176.33872039749,16.424209124683742,2021-03-05 13:59:05
90000,530.2679564024484,2.728652835835466,2021-03-05 14:05:53
120000,679.0379391354464,5.181501718914427,2021-03-05 14:12:38
150000,-1191.0797182681767,46.58869483276219,2021-03-05 14:19:29
180000,655.0485110872672,1.2014361896995496,2021-03-05 14:26:18
210000,664.8353150201954,0.7338942222315054,2021-03-05 14:33:07
240000,681.6411732548657,0.6075147866300172,2021-03-05 14:39:56
270000,686.1974146188629,1.2904520116898952,2021-03-05 14:46:46
300000,684.7025779837442,1.4343841232541394,2021-03-05 14:53:34
330000,682.3313561563907,0.930608587108849,2021-03-05 15:00:20
360000,681.9478097808475,1.3860909359067546,2021-03-05 15:07:06
390000,689.8610092476232,2.24008804615043,2021-03-05 15:13:52
420000,692.8079690478519,0.3739725632654666,2021-03-05 15:20:40
450000,692.7566713887248,0.3816792831035687,2021-03-05 15:27:27
480000,727.6577903746019,43.30598225131046,2021-03-05 15:34:13
510000,708.6908012031879,1.9859764514619291,2021-03-05 15:41:00
540000,698.9305794612677,0.5652305503534768,2021-03-05 15:47:47
570000,779.8305429106496,2.279218433899569,2021-03-05 15:54:34
600000,535.4868114061413,1.6902477362850687,2021-03-05 16:01:21
630000,711.246951572762,124.65746325225115,2021-03-05 16:08:07
660000,799.7217705838247,1.3087933129494789,2021-03-05 16:14:53
690000,792.2968484700316,0.7355073381779458,2021-03-05 16:21:39
720000,631.8909161674491,144.3331660021197,2021-03-05 16:28:25
750000,527.3344671006231,16.68611176133852,2021-03-05 16:35:11
780000,596.6747128574412,2.905618868687497,2021-03-05 16:41:56
810000,622.9427050966498,3.7004685187366015,2021-03-05 16:48:42
840000,572.1803271951005,26.847165331320802,2021-03-05 16:55:29
870000,815.1055302188608,75.04639392864426,2021-03-05 17:02:15
900000,988.2700794624083,220.15974149234987,2021-03-05 17:09:01
930000,788.4683987265039,2.1896050858307134,2021-03-05 17:15:46
960000,854.8545722254879,235.8441441328137,2021-03-05 17:22:31
990000,1269.4266272589184,110.37941310543971,2021-03-05 17:29:15
1020000,1182.933147355087,142.12372433795105,2021-03-05 17:35:59
1050000,940.1186564379574,142.55294245907803,2021-03-05 17:42:44
1080000,1308.7861134961418,78.81094029252887,2021-03-05 17:49:29
1110000,1015.3271901299998,132.8643163114914,2021-03-05 17:56:12
1140000,1112.2716140818911,44.92704427796788,2021-03-05 18:02:58
1170000,1372.7475941217206,43.06399568201046,2021-03-05 18:09:41
1200000,1226.6358131140978,69.98134379790423,2021-03-05 18:16:27
1230000,1504.2363340990908,52.934617967560854,2021-03-05 18:23:12
1260000,1585.748776238563,97.14212362790266,2021-03-05 18:29:57
1290000,1550.4218518679888,120.86299829643235,2021-03-05 18:36:42
1320000,1486.0989149423049,109.6651968375441,2021-03-05 18:43:29
1350000,1371.3405109867817,164.74902943958853,2021-03-05 18:50:14
1380000,1485.0918154635106,92.20206731466793,2021-03-05 18:56:59
1410000,1577.5536872682294,131.73459884859827,2021-03-05 19:03:42
