time_step,eval_return_mean,eval_std_mean,timestamp
0,25.017421538732886,1.2495789771819017,2020-08-20 12:37:10
30000,323.67629146392767,321.07891027979656,2020-08-20 13:09:46
60000,54.056958738481626,26.249617449240382,2020-08-20 13:44:43
90000,65.41843421785218,24.561117948439616,2020-08-20 14:19:50
120000,338.25585216993943,281.131947598274,2020-08-20 14:55:07
150000,209.36890922281927,196.48941383084374,2020-08-20 15:30:30
180000,611.723351499673,397.2957360039886,2020-08-20 16:06:03
210000,451.0284664116175,411.3757887660596,2020-08-20 16:41:42
240000,638.3356367741032,437.402287604746,2020-08-20 17:17:29
270000,617.8517367172459,285.5669362185267,2020-08-20 17:53:20
300000,571.9779903606317,373.9709320468426,2020-08-20 18:29:15
330000,527.0057419638194,384.9375745464521,2020-08-20 19:05:16
360000,685.0935290229802,356.24826317703247,2020-08-20 19:41:15
390000,648.5257391696281,392.5053722314401,2020-08-20 20:17:14
420000,865.186825158227,263.7896503336595,2020-08-20 20:53:23
450000,998.7345393700518,1.9836930689296257,2020-08-20 21:29:31
480000,830.6724729452828,338.74513753434513,2020-08-20 22:05:40
510000,856.4853565132437,286.50019680906365,2020-08-20 22:41:52
540000,1000.8984925377843,1.7875878270857015,2020-08-20 23:18:04
570000,1002.6859392247736,1.5474435319317816,2020-08-20 23:54:19
600000,1000.9948128222757,2.773278985270481,2020-08-21 00:30:35
630000,998.9017236480247,3.5697507158199633,2020-08-21 01:06:50
660000,809.2693617967875,385.42653836376536,2020-08-21 01:43:07
690000,1000.7844950595224,7.421128820599577,2020-08-21 02:19:29
720000,1000.1778151104745,5.252588541148983,2020-08-21 02:55:53
750000,1001.6097422275561,3.214815002294362,2020-08-21 03:32:17
780000,815.0074248804583,372.43546398026075,2020-08-21 04:08:46
810000,1000.6144998110376,1.9741443975707984,2020-08-21 04:45:12
840000,999.5604770495422,2.5760838427393944,2020-08-21 05:21:39
870000,998.4707087004596,3.462353476333957,2020-08-21 05:58:07
900000,1003.6526612638223,1.278689957868889,2020-08-21 06:34:37
930000,997.6222182192338,3.281031582820274,2020-08-21 07:11:07
960000,1003.3718627390706,1.2317649631380287,2020-08-21 07:47:41
990000,1003.6449302512021,2.401158606207892,2020-08-21 08:24:13
1020000,809.404804309588,378.6205290260084,2020-08-21 09:00:44
1050000,632.6948006961416,449.82392463444194,2020-08-21 09:37:16
1080000,811.4888393746756,364.55239202847315,2020-08-21 10:13:50
1110000,811.1622779362993,368.9829404092407,2020-08-21 10:50:27
1140000,992.6668849062826,9.560898899595353,2020-08-21 11:27:02
1170000,1000.3021225691507,7.134573232575323,2020-08-21 12:03:35
1200000,996.2798116096977,8.97789669713858,2020-08-21 12:40:11
1230000,998.0731662152732,4.084667972466164,2020-08-21 13:16:47
1260000,999.1981230959642,1.336123763219408,2020-08-21 13:53:27
1290000,976.6256400284398,42.77764061684716,2020-08-21 14:30:10
1320000,975.1283352905382,49.24850006544094,2020-08-21 15:06:53
1350000,847.3986129974539,311.3887240205463,2020-08-21 15:43:35
1380000,1001.3194160124556,4.47958909965859,2020-08-21 16:20:19
1410000,997.960563867784,8.260129197458866,2020-08-21 16:57:02
1440000,862.3195468218433,287.3526184409898,2020-08-21 17:33:44
1470000,725.4348688546584,340.22407745191407,2020-08-21 18:10:26
1500000,669.036593899287,414.6067242793805,2020-08-21 18:47:10
1530000,766.3508268209964,364.43381404249106,2020-08-21 19:23:57
1560000,701.6249687114174,371.25975236638556,2020-08-21 20:00:47
1590000,844.7112353229124,313.5365057807755,2020-08-21 20:44:20
1620000,860.58562008436,278.5563462255927,2020-08-21 21:27:57
1650000,826.3801973409861,316.4563704153352,2020-08-21 22:11:33
1680000,762.6029326895235,333.48475740895327,2020-08-21 22:55:12
1710000,1003.6016234640927,8.696989034300351,2020-08-21 23:38:52
1740000,1001.6211354926663,16.708191075568813,2020-08-22 00:22:28
1770000,1073.7146779551454,94.38485429924019,2020-08-22 01:06:07
1800000,1035.4023990942358,70.55583000233534,2020-08-22 01:49:52
1830000,1182.5562267582561,5.020520665942069,2020-08-22 02:33:34
1860000,1033.5533605496657,31.067109189283972,2020-08-22 03:17:18
1890000,1140.7045883262363,119.43964103708338,2020-08-22 04:01:03
1920000,962.728056864805,452.4705303389164,2020-08-22 04:44:40
1950000,864.0998709911291,380.78419511271534,2020-08-22 05:28:31
1980000,1102.768199415752,334.3909088058131,2020-08-22 06:12:08
2010000,1057.3916766669226,14.603985854366682,2020-08-22 06:54:18
2040000,1262.0084325068399,3.5014627886735807,2020-08-22 07:36:24
2070000,1222.4890215598994,84.9567855689862,2020-08-22 08:18:31
2100000,1186.0501602891984,83.6034849024246,2020-08-22 09:00:34
2130000,1071.113907544383,39.590275383519455,2020-08-22 09:42:48
2160000,1063.233585017232,11.76957415283317,2020-08-22 10:24:58
2190000,1183.9386213213745,77.11543611883938,2020-08-22 11:07:04
2220000,1256.451758946397,128.1468038975258,2020-08-22 11:49:16
2250000,1205.0155265499945,84.75279667285808,2020-08-22 12:31:25
2280000,1286.9423191454712,21.674660941930288,2020-08-22 13:13:37
2310000,1337.6484705987816,9.715586427571601,2020-08-22 13:55:47
2340000,1226.2295318711467,92.94592097295903,2020-08-22 14:37:59
2370000,1249.3915007043756,10.795995054276156,2020-08-22 15:20:11
2400000,1303.4833049108172,7.4223109252585235,2020-08-22 16:02:26
2430000,1319.111087333322,17.313247224638424,2020-08-22 16:44:41
2460000,1337.3849834645548,17.840354157658318,2020-08-22 17:26:54
2490000,1348.6687382945217,7.068497171841427,2020-08-22 18:09:08
